id_status;NIM;email;nama;semester;program_studi;no_whatsapp;CV;portofolio;IPK;status;domisili;ketersediaan;tools;sync_date
SS0001;20230001;20230001@student.uns.ac.id;Aditya Utami;2;Desain Komunikasi Visual;81695318500;Tidak Ada;Ada;3.52;Active;Surakarta;Tidak Aktif;Adobe After Effects, Adobe Photoshop, Adobe Illustrator, Figma, Canva;24/11/2024
SS0002;20210002;20210002@student.uns.ac.id;Fajar Rahmawati;5;Pendidikan Teknik Informatika;82104810930;Ada;Ada;3.91;Active;Boyolali;Placed;Python, Scratch;26/09/2023
SS0003;20230003;20230003@student.uns.ac.id;Tika Adriansyah;2;Teknik Industri;81679739824;Ada;Tidak Ada;3.53;Cuti;Surakarta;Tidak Aktif;Arena Simulation, Minitab, SAP;03/06/2024
SS0004;20230004;20230004@student.uns.ac.id;Dinda Ningsih;3;Teknik Elektro;83827238264;Ada;Ada;3.65;Active;Surakarta;Placed;C/C++, Arduino, MATLAB, Eagle PCB, Verilog;18/07/2024
SS0005;20230005;20230005@student.uns.ac.id;Isna Hidayat;2;Akuntansi;85368815590;Ada;Ada;3.76;Lulus;Yogyakarta;Tidak Aktif;MYOB, SAP, Excel, Power BI, SQL;17/05/2024
SS0006;20210006;20210006@student.uns.ac.id;Nanda Prasetya;7;Statistika;83876150488;Ada;Tidak Ada;3.81;Active;Jakarta;Tidak Aktif;Excel, Power BI;17/01/2025
SS0007;20210007;20210007@student.uns.ac.id;Farel Handayani;7;Ilmu Hukum;85764035076;Ada;Ada;3.45;Active;Surakarta;Placed;Microsoft Office, Mendeley, Westlaw, LexisNexis, JDIH;30/03/2023
SS0008;20220008;20220008@student.uns.ac.id;Wulan Hakim;3;Ilmu Komunikasi;81308227754;Ada;Ada;3.2;Cuti;Yogyakarta;Tidak Aktif;WordPress, Canva;25/02/2023
SS0009;20210009;20210009@student.uns.ac.id;Dinda Firdaus;6;Agroteknologi;85612387249;Ada;Ada;2.93;Active;Depok;Placed;R, SPSS;04/04/2024
SS0010;20230010;20230010@student.uns.ac.id;Hanif Anggraeni;2;Manajemen;81655948496;Ada;Ada;2.69;Active;Surakarta;Placed;Excel, Canva, Google Analytics, SQL, SAP;13/01/2025
SS0011;20210011;20210011@student.uns.ac.id;Nadia Hidayat;5;Manajemen;85371255935;Ada;Tidak Ada;3.61;Active;Klaten;Available;Power BI, SPSS, SAP;10/09/2024
