id_tracking_student,NIM,id_tracking_company,student_name,internship_semester,company,position,jenis_penempatan,progress_student,last_update,rejection
TS0001,202018732,TC001,Teguh Maulana,7,PT Prima Data,Project Coordinator Intern,Magang,Final Interview,2023-06-27,On Progress
TS0002,202312115,TC001,Dwi Pangestu,2,PT Prima Data,Project Coordinator Intern,Magang,Final Interview,2023-06-20,On Progress
TS0003,20231598,TC001,Vina Ramadhani,2,PT Prima Data,Project Coordinator Intern,Magang,Rejected,2023-06-16,Rejection Final Interview
TS0004,202117594,TC001,Nadia Hartono,5,PT Prima Data,Project Coordinator Intern,Magang,Rejected,2023-06-04,Rejection Interview User
TS0005,202224191,TC001,Eka Wibowo,4,PT Prima Data,Project Coordinator Intern,Magang,Finish,2023-07-22,Placement
TS0006,20212739,TC002,Yuni Setiawan,6,PT Sentosa Teknologi,Quality Control Staff,Magang,FU 1,2023-06-14,On Progress
TS0007,202212917,TC002,Isna Prasetya,3,PT Sentosa Teknologi,Quality Control Staff,Magang,Rejected,2023-06-04,Rejection Interview User
TS0008,202215216,TC002,Anggi Wibowo,4,PT Sentosa Teknologi,Quality Control Staff,Magang,Interview User,2023-07-07,On Progress
TS0009,20218748,TC002,Budi Gunawan,6,PT Sentosa Teknologi,Quality Control Staff,Magang,FU 3,2023-07-08,On Progress
TS0010,202322870,TC002,Satria Putra,2,PT Sentosa Teknologi,Quality Control Staff,Magang,Placement,2023-07-07,Placement
TS0011,202320109,TC002,Eka Permana,2,PT Sentosa Teknologi,Quality Control Staff,Magang,Placement,2023-07-06,Placement
TS0012,202320283,TC003,Indah Sulistyo,3,CV Sejahtera Systems,Data Analyst,Part-time,CDC Briefing Student,2023-04-01,On Progress
TS0013,202212715,TC003,Gibran Wulandari,5,CV Sejahtera Systems,Data Analyst,Part-time,Final Interview,2023-05-05,On Progress
TS0014,20239389,TC003,Kirana Putra,3,CV Sejahtera Systems,Data Analyst,Part-time,Rejected,2023-06-08,Rejection Interview User
TS0015,20219529,TC004,Gilang Setiawan,7,PT Global Nusantara,Mechanical Engineer Intern,Part-time,Rejected,2023-06-07,Rejection Interview User
